Gene,log2FC,p-value,adj_p-value
C7,-5.023147100042821,1.501969326273896e-05,0.0007279836566305439
ANGPT1,-1.4318635213553461,0.00036764328464807406,0.004858504934416788
ZNF219,-1.4645869145224075,0.001654638679854211,0.014262310057616828
RECK,-1.17637459311117,0.0006962898520582487,0.00774723345403904
PJA2,-1.400232962326039,0.0011040306357329387,0.01066787379821367
KCNMA1,-2.9997728575433755,3.24787682402741e-06,0.00033954783549411307
OGN,-2.1070290916966425,0.0004053670981169763,0.005207142565714298
CXCL12,-1.75624000458963,4.098575439111417e-05,0.0011706446619321371
DPEP2,-1.247254849029995,0.0007145255171418562,0.007883672868861921
ZBTB20,-1.013806851489862,0.003275191885107018,0.023605608384620246
FAM63A,-1.5600572228254523,0.0008447974442977228,0.008858208753068178
TLR3,-1.0190125172604503,0.00028511389379538816,0.00410711815086699
WIPF1,-1.4597430583304767,0.0012761717723727452,0.011861881817327303
DMPK,-2.146680434343247,0.00023570933042497565,0.0036333647006676173
SPINK5,-1.8273912112430486,0.00024820447991041064,0.0037547150478137907
PDLIM7,-1.4495729009703184,0.004596657448006262,0.030449250936949886
PRKACB,-1.2393989123190645,0.006033596348240647,0.037248694937952305
DYNC1I1,-2.4759251040595474,0.0007513688256496713,0.008170652348130669
B3GALT4,-1.0689718895573042,0.002110653904974245,0.017156577815722135
SVIL.2,-1.315976694339836,0.0012353201362086258,0.011538700646028858
MT2A,-1.6997752596270999,1.9767401180409943e-05,0.0008185254473096023
SLC22A18AS,-1.3887986353899875,0.003277376824685413,0.023605608384620246
TEX11,-2.772333330818068,0.0002520806059259552,0.00379703155202876
RNF122,-1.455176910004465,0.0021839173874198606,0.017562820787331537
CAP2,-2.9391142959020855,0.00013343289621150275,0.0024980814735766975
NNAT,-4.3815423348258635,3.149135567980605e-05,0.0010076279534032488
BLVRA,-1.4325910722510617,0.0023745235984953756,0.018652910057723085
CLU.1,-1.7403728062138364,0.0011405416878605492,0.01087893376885234
CBX6,-1.8869128766677217,0.0005027931587043167,0.006123405954739192
ZNF14,-1.2214960582740253,0.008949340283969171,0.049935006997152
RFX2,-1.574130901436584,0.0003373214527688769,0.004607732496489743
CNTNAP1,-1.949641486312273,0.00024133134916425088,0.0036877246249281117
DENND3,-1.0597804631821612,0.0014488479500022146,0.012975729859264956
ASPA,-1.492112491529499,2.056441520687369e-07,0.00011350123630880642
KIAA0513,-1.6891636918396038,5.793418806533309e-06,0.00046092034280526624
CPEB1,-1.432544802171347,1.4998028403762264e-06,0.00023196211565586916
ILK,-1.8064581068796084,0.0005624590820575581,0.006628354294024281
PLEKHO1,-2.530072223054969,1.8149635442844836e-05,0.0007944784103043059
ROR2,-2.465463366122539,0.00021552212236832722,0.003401641390264824
CRIP2,-1.5609727979833306,0.002781630631925604,0.02108488000179645
PCSK2,-1.6408249462117432,9.905380842823753e-08,0.00010902937886291885
CA4,-3.5347732944843506,8.61385510912862e-05,0.0018883685837599534
PDLIM3,-3.1565603709231644,8.419782622336819e-05,0.001863825675246425
RNASE1,-1.500700401934282,0.0013669697625273921,0.012442960105626495
ADRB2,-1.1725488366587993,0.00048279321266485705,0.005934590841127154
ITGA7,-1.0326316383440624,0.004326868331690196,0.029100256505934258
LAMA1,-2.1252182045565324,0.00021249824786459445,0.003374088720604891
LHFP,-1.3434113226310334,0.004217309377552139,0.028552466878676127
TLN1,-1.7150121554141606,0.0014207462883746853,0.012778245365373342
CES2,-1.1954073877150238,0.003131784686024102,0.02289552372379606
TXNIP,-1.3578600661250335,0.002705324777944763,0.020639829718438404
ARNT,-1.1233985923759682,0.0015894583150478055,0.013904797306205285
ATP2A3,-1.2248431844758305,0.0010889101494800007,0.010567832967242029
DLC1,-1.416746303739819,0.0014790551461900182,0.01315698676379141
CHD5,-1.1284960083378612,0.00021114132841897236,0.0033626565411401647
TAGLN3,-2.8702027719918455,3.4396491731461614e-05,0.0010760238707152648
TMEM100,-2.3741755593515492,1.0831706738743937e-08,1.906199857573287e-05
CPM,-1.7047137810861646,0.00027260037201881345,0.003992215434322678
PALLD,-2.329956776054684,9.845160712127191e-05,0.0020463592905384056
SLC8A2,-2.7100247099442174,7.504926670310248e-05,0.0017264601462267082
DES,-5.930585830056005,1.899981618344423e-05,0.0008122229112590592
SLC22A5,-1.06983521469757,0.0038758994744657192,0.026731301470204787
PDZRN3,-1.332415274388035,0.0002509261714437108,0.003785042063248775
TLL1,-1.3005851959524113,2.7156790277216533e-05,0.0009430909516877728
