Gene,log2FC,p-value,adj_p-value
SCD,2.3313176834775593,0.0001460972528593401,0.0026597256774858143
PMAIP1,1.53451956442864,4.652892066322138e-06,0.00039303909862636367
CNTNAP2,2.3396131889612097,0.004416461919046408,0.029589734392900396
CELSR3,2.248308058932399,0.0003010329736606307,0.004260867518609383
RHBDF2,1.428745788386238,0.00180018216095728,0.015145915089679617
STC2,2.21338967378943,0.0012222992379108861,0.011452044656929736
NSDHL,1.2926180773593179,0.0011079619248041037,0.010674242667889172
LCN2,1.5758618530479853,0.0011611527216774345,0.011035653994772306
ITGB3BP,1.048635828937607,0.0015761736200985458,0.013822937919120053
PSAT1,2.593440704100045,5.099701141856452e-05,0.001347579245776167
RPN2,1.0480230933615908,0.001434301438099796,0.012878221840897744
WNT2,1.055248213881548,0.0017289905950281968,0.014722912655566718
PRIM1,1.122988692815834,7.751307239068665e-05,0.0017525921442682235
ANXA3,1.2286812398339937,0.0004320839079499735,0.00547047240293018
C4BPB,1.4974790731790637,0.0015362238688970318,0.013517489859736467
KRT18,1.2256509907556759,0.0007888532622823513,0.00843921134391018
GCHFR,1.0640552765083469,0.003170087833554198,0.023037135192359795
IL20RA,1.3998515009042367,3.239243929459658e-05,0.0010302161641917028
DIAPH3,1.1765770026433209,5.184681849267722e-05,0.001351729769047355
RPP25,1.4641555376580218,0.0004686895973364574,0.00581538596742145
SLC39A8,1.3429198656560442,0.007615001588673586,0.0442555111028906
ASF1B,2.2129919003399743,1.1901005359617686e-05,0.000647745956660841
KIF20A,1.9086694378092515,1.328246237580048e-06,0.0002262089035904472
RBM41,1.0164467255884324,0.0005568987858495344,0.006588833967843323
KLK11,3.1875675469699662,0.0005138702430099303,0.006213741226750471
XRCC3,1.4273963933163654,0.00022765067139039587,0.003534946234134103
VARS,1.3372886445657015,0.004453361066474632,0.029780265675051067
SLC19A1,1.2605500539998267,0.0009036101637881146,0.009263320115959905
TNFRSF10B,1.0316951607986415,0.005335455394737375,0.03408171416396367
TRAP1,1.3579858165744474,3.739240259195798e-05,0.0011243655588738417
TROAP,2.127405111008748,2.9674896454587446e-06,0.0003208459625466572
SIM2.1,1.8501867650610264,4.101085245862589e-06,0.00036999377706168024
RNF43,2.731764766511206,9.918721702208004e-07,0.0002014072739492583
PIWIL1,2.1892095840314423,0.0019566423071354032,0.016140770407064627
CCT2,1.3794433696729287,0.0019812893275364734,0.016255193480542055
LAMC2.1,1.8272037025694639,0.0012803489325166927,0.011886682689172227
GDPD5,1.777041011429086,0.003493471587177386,0.024773382464073887
HSD17B12,1.0618274444847777,0.004693655657791939,0.03099456541002194
LGR5,1.6015716206476616,3.4522895829174444e-05,0.0010760238707152648
B3GNTL1,1.0887668036481366,3.8858387301037656e-05,0.0011461053394180353
RECQL4,1.510309305342898,2.1986476661478343e-05,0.0008566612806957558
ZNF593,1.0379297571037178,0.005264262783377351,0.033708520757841996
CDH3,4.33230218720206,8.409006171885251e-10,8.879069616893636e-06
NIP7,1.2729484007244416,0.0007576892195812725,0.008214004588869258
FOXD1,1.035984838649222,0.0017985538735575761,0.01514428257647085
MCM7.1,1.0085900726789614,0.006191561882290986,0.0379215208324307
TEAD4,1.5785401939356807,4.061709546474669e-05,0.0011685992125674669
NAT10,1.356948843263689,0.0021165945343407278,0.017191632067772113
SULT2B1,1.1503415394646095,0.006808091571751527,0.040703698774905525
IMPDH2,1.1430659075071012,0.0010084521255449713,0.009970267784297146
SOX9,3.0815917456207176,2.423074602483431e-06,0.0002907414173593472
MCM10,1.8143670975487134,4.363568750300611e-06,0.0003835531944420303
CSE1L.1,1.7803157478854974,4.049176017270663e-05,0.0011681762176601346
KHK.1,1.004330745731025,0.00017916150032552434,0.003037769703333531
LIG1,1.505078803482412,2.5316286709721658e-05,0.0009143667368522397
AGMAT,1.4973552490844113,5.73051977097984e-05,0.0014580375484765332
TASP1,1.0089670584205008,0.00019207400157208237,0.0031689209103119027
