Gene,log2FC,p-value,adj_p-value
CCL23,-3.0139623881614206,2.4929005274993483e-05,0.0009139769677036674
THBS1,-1.4638081961452103,0.003615045780738463,0.025371537180098817
PLXNB3,-1.240991604427238,0.0006681118238486922,0.0075450189818377965
PYCRL,1.2033206755046515,6.940130604226176e-05,0.0016467604280904313
PDCD2,1.1194690152663014,0.0005562704594969513,0.006588833967843323
CSF1R,-1.5445867245492704,0.0031264439703075006,0.02287742334197983
TM6SF2,-1.2059192564711623,0.0024853809419113837,0.01938193306177422
ST5,-1.08751240303311,0.0019203827471184207,0.015903781511234043
RFWD3,1.32505796489241,0.0008778143501619112,0.009096017392894623
LGALS2,-2.815932535871685,1.329594327693651e-07,0.00010902937886291885
SLCO1B3,3.5218594364774423,0.008295853508889934,0.04719607607778492
RTN1,-1.175052314597923,0.0012818032057328728,0.011886682689172227
FLNA,-3.023885329654995,2.023537457835086e-05,0.0008281601557085531
MOXD1,-1.26997105246677,0.007972257944046603,0.0458741534774867
CAV1,-2.200163401287593,1.1464433304882559e-05,0.0006438986769481646
TGFB3,-1.9314714440706051,0.0028660687896919315,0.021540019299019858
C16orf45,-1.1711988825432387,0.0002100134908710788,0.0033573265243156047
SCGN,-2.7312216174995467,1.1168140439724055e-06,0.00021440799073281147
C7,-5.023147100042821,1.501969326273896e-05,0.0007279836566305439
PHLDA1,2.0565669437833374,0.00011223025979472728,0.0022482105894208308
TBC1D4,1.0514595440594894,0.00028336103836940063,0.004105417674999835
