Gene,p_value,Log2FC,adjusted_p_value
NAG8,3.6745540745219904e-05,0.827749836840395,0.00018338876847963067
CDC14A,0.0002016875577600003,-1.1478092231688635,0.0008028416977117973
RGS1,1.434444244104978e-05,-1.5202541661957838,8.184596479224494e-05
DHX9,1.1406476099110267e-05,0.8412012260068105,6.722669122812492e-05
NRF1,8.151959298787491e-07,0.9067525308511426,7.4574726256412195e-06
PCDHA2,0.00012555907542167425,-7.174555590912016,0.0005319714532380483
BRUNOL6,2.070223445335101e-05,-1.1415988310394143,0.00011239803453576574
PLAU,6.651784830556361e-05,1.677721143216898,0.00030542686512223695
LOC440926,0.00032434946300841517,0.24093783793245294,0.0012170785668773143
SLC39A10,1.0567432082173464e-08,1.892018208773247,2.2584577390263594e-07
CNOT7,0.009771524194723174,0.47511128725860097,0.02428997224851423
STAU1,7.723804277830945e-05,0.7761678337079267,0.00034755552555659574
MAPKAPK2,0.01575567953256532,,0.036854069459134234
ATP10D,1.5942295475091267e-05,-1.1250683434656672,8.985362876509774e-05
USP9X,0.0096953311640001,0.31832937958919594,0.024133889872327
E2F6,7.154659585021003e-06,0.9506964230494415,4.502801501868162e-05
RPS8,1.7266391018155138e-05,0.2861889074926527,9.614398050872328e-05
NOTCH2NL,2.320078115721294e-06,-0.6160972740720121,1.7711153791865514e-05
METTL7A,2.3205896612260526e-10,-2.8322539874372055,1.0953183200986968e-08
SPOCK2,1.0140081006874929e-09,-1.1942256268321838,3.5203060572224324e-08
TSKS,6.476786650084393e-05,,0.00029871317057270726
GOSR2,0.020152125165351132,0.2746383124906888,0.04552955949365002
GFRA2,5.3175013136014705e-09,-3.6944358642570414,1.3209792736946812e-07
TMEM79,0.003336104345130951,1.0515488679954421,0.009443427177795716
ZMYM3,0.00532034232096834,0.3548298973233326,0.014229794090680885
GLT1D1,0.0035668610768765916,-0.41402555714433653,0.010014839403800824
PTPRS,0.004706493189695066,-0.5232458535923774,0.012782669554382387
LOC201175,0.00034793439182855744,1.3929299239391568,0.0012911636915899495
ALDH4A1,5.436361141895155e-07,1.2451318452352114,5.357629301279526e-06
PES1,6.429532389308761e-05,0.7109900545625436,0.0002967805795348014
BNC2,6.27248508830376e-07,-3.605091760991347,5.983958603738838e-06
NMT2,9.058672355926654e-13,-1.0484645100215264,1.703030402914211e-10
PPP2R3A,2.2512822969069983e-10,-1.2937872020192636,1.0694314020253715e-08
MYOT,9.694596148235315e-08,-5.171451054118343,1.3324964123448092e-06
TCEAL8,0.013963810443121621,-0.3439002728767715,0.03319704219547755
SALF,0.0036537838980571988,,0.01023041044989283
TRPC6,5.166648154209631e-05,-1.9875524232644404,0.0002454849489247943
CDKN2C.1,4.0714878531055375e-05,-2.517991976483014,0.00020040356452916185
MGC3020,0.00017030375814976295,1.0354464219011774,0.0006938509771890434
C17orf39,0.008938821419374935,-0.6475104013850679,0.02249050860467433
C16orf59,1.0288670669904372e-10,4.5876130692577215,5.682594087576016e-09
ARSA,0.0023501023917681515,-0.6274071691727192,0.006915329812837867
DNAJC10,7.502337679966784e-07,1.3683345431723541,6.970738464411497e-06
FGA,7.669512335450545e-05,0.9002705641407296,0.00034560321277602054
DUSP5,9.525554690553753e-06,-1.2542570132709372,5.761038856467951e-05
CGI-96,5.753651367585931e-05,0.9068534726062101,0.00026956494601589504
SNRPN,6.535958101181494e-07,-1.568431948135042,6.201612254773749e-06
RUVBL1,1.389538933570987e-11,1.7463904063335747,1.2790677054912353e-09
DKFZP564O0823,0.0013804157639618882,-0.9019993408911002,0.0043350995622495085
PCGF6,0.013482290529010134,0.345660111139372,0.03223312135958194
WDR4,1.89207142878123e-09,1.7857012221637287,5.7500197990751594e-08
BHMT,3.1001625262428988e-06,,2.2365530238104865e-05
MR1,0.005316911431225582,-0.5467992430267383,0.014224597586867862
LOC731365,6.628081947783483e-12,0.606001873994936,7.207714212236705e-10
ZYG11B,8.721682124829618e-10,-1.1640396601817091,3.125715609971248e-08
AZIN1,5.9958214640885344e-05,0.7900096419513254,0.00027967052850996646
FBXO4,1.6543287051191246e-06,0.8939108339544504,1.3428330769982678e-05
RPS6,6.884955911921789e-06,0.44776072624305385,4.3613895474035686e-05
TIMM17A,2.0067339535868913e-05,0.9169381526666687,0.00010955584609119892
RPL27,3.401306311698211e-08,0.4628415318003327,5.702562911763286e-07
VPS13D,2.0429049852471074e-10,-1.225076889837852,9.895153753869396e-09
SLC1A4,0.0034077097326656713,0.5726161601954924,0.009621939508303408
TRIM6.1,4.4596185174653414e-05,-1.4654840227776873,0.00021629247309018612
PSD3,0.001494826777903493,1.0343390887094581,0.004649640667556238
GIMAP6,5.7581435423195644e-05,-1.2999384220143302,0.00026966150800679167
ABLIM3,0.00018525048880513816,-1.7261014132279193,0.0007450320601256681
LMO6,0.00022601686496043135,1.928564127088638,0.0008894727926702517
GIOT-1,0.0022742216324662446,-0.6364151771457776,0.006711631328273402
TMEM92,0.0012628707233264692,0.8764678099231338,0.004009664251649405
OR51B5,3.627824676620176e-08,1.5375136908241265,6.005944972100148e-07
ANK3.1,2.8192220059029905e-05,-1.8995640730190466,0.00014592072090282768
FILIP1,3.5812075756819114e-05,-4.13336002730434,0.00017965967629789126
PPIL6,0.005575701125972946,0.7440248721975022,0.014790308953555405
ZNF533,9.571996858104223e-06,,5.7859721607679585e-05
TLX2,2.5148422466633447e-05,-1.6275365452130028,0.00013239027147598397
MEOX1,0.00019617758117747774,-2.121458530408252,0.0007837211346733596
KIAA0495,1.6878526493029565e-09,-2.6355743083786543,5.244162909262855e-08
BICD1,0.0038118061200398106,-0.6754633410152362,0.01061791900639919
C1QA,8.099830852361034e-06,-1.743098393935206,5.034649695398632e-05
FOXJ3,0.008746363574688516,-0.6049470423025571,0.022058814181547298
TSNAXIP1,0.0021957449424282677,-0.7039097071221994,0.006505128980078619
CCL20,4.442652852560766e-06,2.8012260231256363,3.015783686695472e-05
NUBP2,0.0025109438972901626,0.3464234530075121,0.007335103952789699
EREG,0.0005579073716883894,3.418305947604611,0.001948459876186277
SGCD,0.0010139867983549394,,0.003307496417395379
ALKBH5,4.7523102601706657e-07,-0.6205501583429403,4.8205418752458185e-06
TMC8,0.005320781190072829,2.627254424100401,0.014229794090680885
SULT1A1,5.715448955508965e-06,,3.7258748054366994e-05
POLR2J,6.626810916408584e-06,0.7512514616179802,4.220762944863854e-05
PODXL2,2.8853913959929402e-05,2.429700602992737,0.00014882474477727827
CBX7,6.38966069601375e-07,-2.4984690452126372,6.07839763637946e-06
