Gene,p_value,Log2FC,adjusted_p_value
CSRP2,3.052316657826113e-05,-1.3167795776257751,0.00015634401463222002
WFDC1,4.011725621320847e-06,-2.9138271771256026,2.773328799731433e-05
MGC14376,2.6745404995877078e-11,-2.3502930226339007,2.0965373301361736e-09
ALG11,1.8739263687365635e-07,1.1575847549752343,2.264375835774362e-06
RIN1,0.0008835619742767143,1.023790526838087,0.0029288639024432172
RHBDL1,1.6871391108046362e-05,1.6158495523472336,9.422833341915925e-05
ELK4,0.0019113424341920557,1.3984067442040562,0.005770443734365346
MGC24975,5.089184267945703e-07,1.578704962847996,5.08579794355515e-06
GAD1,4.2267422571111824e-05,2.7259551652614507,0.0002069890733592814
WBP11,0.002770131335937042,1.0742336435271098,0.00800268180185276
WFDC10B,0.011354154307822948,1.631094143690751,0.027694399028559018
SHMT2,2.477078820935849e-10,1.8019688018454545,1.1568740329187553e-08
HLA-DQB1,0.01766510964963821,-1.2384422882427284,0.04063176917450247
JRK,6.916812879405175e-07,2.6962431660976245,6.507318783576099e-06
PKP4,0.0006044580517981259,1.2050908078247256,0.002094221055925289
Septin 6,2.086749114384789e-08,-1.4073055930638878,3.8544914532483065e-07
GRAMD2,2.1757690501739155e-06,1.8044065925816346,1.674202587896571e-05
PFDN6,2.0400525632099106e-07,1.0545438848597772,2.420677538479146e-06
KIAA0408,3.3067042863720653e-06,-1.3889389769153198,2.3543510571676715e-05
C1orf53,7.722071315314268e-07,1.202671599404205,7.146701295741832e-06
DDIT4,1.2242773609148692e-06,1.8586851763348111,1.0494346589851413e-05
SNHG4,2.408404251063081e-09,2.492741190576844,6.984057503997829e-08
TFDP1,4.901512341729407e-09,1.7271644473369072,1.2412688332069084e-07
VIL1,1.1642156671522955e-05,1.1487955049072074,6.833041712114523e-05
CENPJ,4.216142386451533e-06,1.212437084388963,2.888539305158765e-05
NR3C2,1.1381761551840175e-05,-1.8507297778670857,6.711669278735312e-05
MTL5,1.5685950738833757e-06,1.4176736642494863,1.2840484545767087e-05
CTF1,0.001166803379875103,-2.7129543729608976,0.0037394345823677094
TNFRSF6B.1,0.004441062922481382,3.1530361688559347,0.012142043366074313
ANKRD12,5.90066922777139e-10,-1.0322998976960065,2.3127287305455924e-08
CSF2,6.130196063700788e-05,2.626437429060402,0.0002848005643500278
ANK3.2,2.704614164342989e-05,-1.9032831849963037,0.0001406779850452166
PI15,0.008426661323165325,-1.1894857740569105,0.021334975438609856
CD163L1,0.0010715122821869773,-2.0101902875014526,0.0034719992101314434
