Gene,p_value
UNC93B1,2.6238033521272555e-05
LOC347273,0.004536742016510057
DCX,0.002859519364124955
ACO2,1.1657518292852714e-05
C1orf58,0.00034768160530306166
RANBP2,5.434522591715513e-06
LENG8,0.013573681126394295
SCAMP2,9.153216507992746e-06
KIF7,3.543325656070158e-05
NME4,0.001124362128978761
TMED2,8.777045536354778e-06
RUNX1,7.28894115540011e-05
ZSCAN18,2.149241816387659e-07
SCARA3,3.241598661500873e-07
MLL4,4.758674441294966e-05
LDLRAD2,0.007259006360399084
NUTF2,3.8867932076363156e-08
FAM86B1,4.3876045507349653e-08
TRNT1,0.026642340728432995
ING5,0.001878937322933594
ZFYVE1,0.0030860907595594493
ABR,0.010043767967267496
PTBP1,1.89213597787814e-09
PRPS1L1,0.018896972946603707
MORN1,0.04803948650509299
STK24,0.0003832853745270493
PIK4CA,0.013255824010785282
CASZ1,2.690839983714117e-10
PHF17,0.002338861906051629
WDR53,0.011974696752660203
SLC7A11,5.29525896176144e-09
GPATC4,0.04582938570952386
GFPT2,0.0031572049444191087
C12orf46,0.00027229363589515484
FLJ14668,2.1471769803952808e-07
HPS5,0.0010955126623874358
PSMC6,0.0008461973955354783
RIOK2,1.5743270757250287e-05
PLAC8L1,0.03055933129261718
GPR1,0.0033963566744999434
WDR77,7.85369963408048e-07
MRPS22,8.215404376571419e-08
DCLRE1B,1.5483294214084689e-06
SCARF2,0.019139669232122382
TNFSF14.1,0.018564224612148038
UCK1,0.0014384605487998128
DSG3,0.04270299428919638
TSPAN3,0.013797316803740464
TRIM27,3.9623218435000924e-11
C1orf124,2.449017024523151e-06
AHDC1,1.5053366390003876e-06
KCMF1,0.009217846586802168
EIF4B,0.019971420291648403
FAM57B,0.002497493622767976
DMRTA1,0.0003504385049582754
ENY2,0.0015822725449835327
ZMYND12,0.002012862427002212
INTS6,0.01322837435861964
KIAA0427,1.9398938925007875e-05
UGT3A2,0.04513544068443008
C6orf59,0.0018073854897603318
RET,4.21032247739833e-06
TSHZ2,1.0967855936889015e-05
DSP,4.428705297833512e-06
PRKRIR,0.00038264419065559213
GPATCH1,0.01122262667015954
DVL1,0.02168700678166212
METTL3,6.6660501044502e-09
KIAA1794,8.188227466000738e-14
GCNT2.1,0.010962944053247464
SC65,0.033167943553776065
DGKD,0.026317583221789623
MICA,0.00011113906629311276
SARS2,2.0452145258060264e-06
ABHD5,0.020095017347991143
CNNM4,0.048434653535519435
RFC2,0.0007107849096182375
BXDC5,0.0001459489409641594
ZNF323,0.0004723319565511566
LOC399818,0.00994133796234426
SF3A1,1.0157049538549211e-05
CAPG,0.02711273799293524
TAF1A,9.721187043721204e-05
HISPPD2A,0.03374950753061273
ANP32C,0.004837309918544472
TMEM159,0.00014663673371878992
ATP2A2,0.028190761550798617
ROR1,3.202884319710766e-06
GTF2E1,2.3586971830931808e-07
TRNT1.1,5.840450270545043e-09
DKFZp434N035,9.770416769865667e-07
NAG8,3.6745540745219904e-05
CDC14A,0.0002016875577600003
GALNT10,0.04784659823033073
RGS1,1.434444244104978e-05
DHX9,1.1406476099110267e-05
NRF1,8.151959298787491e-07
PCDHA2,0.00012555907542167425
BRUNOL6,2.070223445335101e-05
PLAU,6.651784830556361e-05
LOC440926,0.00032434946300841517
SLC39A10,1.0567432082173464e-08
CNOT7,0.009771524194723174
STAU1,7.723804277830945e-05
MAPKAPK2,0.01575567953256532
ATP10D,1.5942295475091267e-05
USP9X,0.0096953311640001
FLJ20186,0.023353646266242322
E2F6,7.154659585021003e-06
RPS8,1.7266391018155138e-05
NOTCH2NL,2.320078115721294e-06
PRPF38A,0.03386336789488257
METTL7A,2.3205896612260526e-10
SPOCK2,1.0140081006874929e-09
TSKS,6.476786650084393e-05
GOSR2,0.020152125165351132
GFRA2,5.3175013136014705e-09
TMEM79,0.003336104345130951
ZMYM3,0.00532034232096834
GLT1D1,0.0035668610768765916
PTPRS,0.004706493189695066
LOC201175,0.00034793439182855744
ALDH4A1,5.436361141895155e-07
PES1,6.429532389308761e-05
BNC2,6.27248508830376e-07
NMT2,9.058672355926654e-13
PPP2R3A,2.2512822969069983e-10
MYOT,9.694596148235315e-08
TCEAL8,0.013963810443121621
SALF,0.0036537838980571988
TRPC6,5.166648154209631e-05
CDKN2C.1,4.0714878531055375e-05
MGC3020,0.00017030375814976295
C17orf39,0.008938821419374935
C16orf59,1.0288670669904372e-10
ARSA,0.0023501023917681515
DNAJC10,7.502337679966784e-07
FGA,7.669512335450545e-05
DUSP5,9.525554690553753e-06
ZNF304,0.022756548851072325
CGI-96,5.753651367585931e-05
SNRPN,6.535958101181494e-07
RUVBL1,1.389538933570987e-11
DKFZP564O0823,0.0013804157639618882
PAX8,0.03652175984726784
PCGF6,0.013482290529010134
KCNH7,0.04883701160258815
CHMP2A,0.03568413880393161
WDR4,1.89207142878123e-09
BHMT,3.1001625262428988e-06
MR1,0.005316911431225582
LOC731365,6.628081947783483e-12
ZYG11B,8.721682124829618e-10
AZIN1,5.9958214640885344e-05
FBXO4,1.6543287051191246e-06
CCDC4,0.03356874926450162
RPS6,6.884955911921789e-06
TIMM17A,2.0067339535868913e-05
RPL27,3.401306311698211e-08
VPS13D,2.0429049852471074e-10
SLC1A4,0.0034077097326656713
TRIM6.1,4.4596185174653414e-05
PSD3,0.001494826777903493
GIMAP6,5.7581435423195644e-05
ABLIM3,0.00018525048880513816
LMO6,0.00022601686496043135
APCDD1,0.0254633455220329
GIOT-1,0.0022742216324662446
ABO,0.027305626994265333
TMEM92,0.0012628707233264692
OR51B5,3.627824676620176e-08
ANK3.1,2.8192220059029905e-05
FILIP1,3.5812075756819114e-05
PPIL6,0.005575701125972946
ZNF533,9.571996858104223e-06
TLX2,2.5148422466633447e-05
MEOX1,0.00019617758117747774
C19orf23,0.03965661102959267
KIAA0495,1.6878526493029565e-09
BICD1,0.0038118061200398106
C1QA,8.099830852361034e-06
FOXJ3,0.008746363574688516
TSNAXIP1,0.0021957449424282677
CCL20,4.442652852560766e-06
NUBP2,0.0025109438972901626
EREG,0.0005579073716883894
SGCD,0.0010139867983549394
ALKBH5,4.7523102601706657e-07
TMC8,0.005320781190072829
SULT1A1,5.715448955508965e-06
IGSF1,0.045659501641797835
POLR2J,6.626810916408584e-06
PODXL2,2.8853913959929402e-05
CBX7,6.38966069601375e-07
LEPREL1,2.85625027596245e-10
GABRB1,0.03400121841680109
HMGCR,0.024956901550189873
LOC57228,1.4587781113024816e-06
MT1M,8.312768181359249e-08
KCNC2,0.007885229421364888
SRPK2,1.1763914988976948e-06
GALT,0.040295660437084775
SEC23B,5.150148991532866e-09
KIAA0152,2.6273910046893016e-11
MRGPRF,4.48179636742621e-08
TSEN54,5.803776313868352e-07
RPS6KA5,1.6932917507438275e-07
STK35,0.0011667734542019409
TRIO,0.019649940202286786
CCDC34,7.557497076672419e-07
MVD,0.00047835050289169964
TSPYL2,3.7433337768880056e-06
SCN3A,0.00019626985231416141
